0 1 020 4.16 06 06 09
4    4 327805 408705
4    5 326010 405989
4    6 327999 408592
4    7 330100 411275
4    8 332218 413838
4    9 334336 416448
4   10 325994 405981
1 14 12 10 17 32 43 30    2    0 305.70 306.77 261.31 251.53 191.20 157.58 457913 554332 558762 648416
2    1 14 12 10 17 32 43 30   0.221   0.0017  10.90  12.25  -1.00 326026 406014
2    2 14 12 10 17 33 03 06   0.226   0.0016  10.95  12.22  -1.00 326051 405997
3 14 12 10 17 32 43 30 10 191.09 157.64 0.998 0.997   0.231   0.0017  11.02  12.24
4    1 334392 416861
4    2 332832 414969
4    3 329979 411275
4    4 327886 408762
4    5 326026 406014
4    6 328015 408657
4    7 330100 411300
4    8 332242 413886
4    9 334328 416481
4   10 326051 405997
1 14 12 10 17 33 35 22    2    0 305.70 306.78 261.31 251.53 191.20 157.58 457800 554260 558729 648375
2    1 14 12 10 17 33 35 22   0.227   0.0020  11.10  12.44  -1.00 326010 406046
2    2 14 12 10 17 33 55 10   0.235   0.0018  11.13  12.34  -1.00 326027 405989
3 14 12 10 17 33 35 22 10 191.35 157.83 0.998 0.998   0.237   0.0015  11.06  12.17
4    1 334408 416772
4    2 332768 414848
4    3 329995 411332
4    4 327813 408770
4    5 326010 406046
4    6 328023 408640
4    7 330076 411251
4    8 332266 413894
4    9 334336 416448
4   10 326027 405989
1 14 12 10 17 34 27 46    2    0 305.70 306.78 261.32 251.51 191.20 157.58 457873 554357 558754 648367
2    1 14 12 10 17 34 27 46   0.239   0.0012  10.94  11.95  -1.00 325994 405852
2    2 14 12 10 17 34 47 42   0.234   0.0014  10.94  12.06  -1.00 325994 405917
3 14 12 10 17 34 27 46 10 191.13 157.37 0.999 0.998   0.233   0.0017  11.05  12.24
4    1 334360 416756
4    2 332735 414735
4    3 330044 411251
4    4 327789 408649
4    5 325994 405852
4    6 327991 408665
4    7 330068 411203
4    8 332307 413975
4    9 334303 416392
4   10 325994 405917
1 14 12 10 17 35 19 81    2    0 305.70 306.77 261.33 251.48 191.20 157.58 457856 554308 558689 648351
2    1 14 12 10 17 35 19 81   0.220   0.0017  10.88  12.24  -1.00 325946 405973
2    2 14 12 10 17 35 39 81   0.228   0.0015  10.90  12.11  -1.00 325954 405892
3 14 12 10 17 35 19 81 10 190.97 157.53 0.998 0.998   0.237   0.0016  11.10  12.24
4    1 334424 416812
4    2 332743 414678
4    3 330011 411227
4    4 327772 408632
4    5 325946 405973
4    6 328007 408600
4    7 330036 411162
4    8 332283 413918
4    9 334287 416424
4   10 325954 405892
1 14 12 10 17 36 12 18    2    0 305.70 306.78 261.33 251.49 191.20 157.58 457913 554308 558754 648367
2    1 14 12 10 17 36 12 18   0.225   0.0016  10.90  12.17  -1.00 326010 405925
2    2 14 12 10 17 36 32 11   0.210   0.0016  10.71  12.17  -1.00 325913 405925
3 14 12 10 17 36 12 18 10 190.93 157.58 0.999 0.999   0.238   0.0016  11.08  12.20
4    1 334457 416747
4    2 332679 414549
4    3 329971 411235
4    4 327780 408681
4    5 326010 405925
4    6 328055 408592
4    7 330084 411187
4    8 332291 413894
4    9 334303 416473
4   10 325913 405925
1 14 12 10 17 37 04 46    2    0 305.70 306.78 261.34 251.45 191.20 157.58 457832 554324 558721 648319
2    1 14 12 10 17 37 04 46   0.237   0.0014  10.99  12.06  -1.00 325970 405876
2    2 14 12 10 17 37 24 29   0.240   0.0013  10.99  12.01  -1.00 325970 405844
3 14 12 10 17 37 04 46 10 191.21 157.40 0.999 0.999   0.234   0.0016  11.02  12.18
4    1 334368 416675
4    2 332598 414403
4    3 330044 411251
4    4 327813 408681
4    5 325970 405876
4    6 327942 408552
4    7 330044 411162
4    8 332250 413943
4    9 334263 416408
4   10 325970 405844
1 14 12 10 17 37 56 74    2    0 305.70 306.78 261.35 251.46 191.20 157.58 457897 554308 558810 648456
2    1 14 12 10 17 37 56 74   0.224   0.0014  10.83  12.08  -1.00 325946 405860
2    2 14 12 10 17 38 16 49   0.235   0.0014  10.99  12.09  -1.00 326027 405868
3 14 12 10 17 37 56 74 10 191.19 157.68 0.999 0.999   0.234   0.0016  11.02  12.19
4    1 334400 416731
4    2 332590 414460
4    3 330003 411219
4    4 327805 408632
4    5 325946 405860
4    6 328007 408592
4    7 330036 411170
4    8 332258 413846
4    9 334295 416384
4   10 326027 405868
1 14 12 10 17 38 48 68    2    0 305.70 306.78 261.35 251.47 191.20 157.58 457913 554324 558802 648416
2    1 14 12 10 17 38 48 68   0.224   0.0015  10.84  12.09  -1.00 325962 405876
2    2 14 12 10 17 39 08 52   0.229   0.0014  10.87  12.04  -1.00 325978 405844
3 14 12 10 17 38 48 68 10 191.11 157.61 0.999 0.999   0.235   0.0015  11.00  12.12
4    1 334368 416634
4    2 332574 414323
4    3 330003 411162
4    4 327780 408584
4    5 325962 405876
4    6 327958 408543
4    7 329995 411106
4    8 332218 413830
4    9 334239 416311
4   10 325978 405844
1 14 12 10 17 39 40 52    2    0 305.70 306.78 261.36 251.47 191.20 157.58 457856 554381 558826 648472
2    1 14 12 10 17 39 40 52   0.236   0.0015  11.03  12.14  -1.00 325994 405957
2    2 14 12 10 17 40 00 51   0.244   0.0014  11.11  12.10  -1.00 326035 405933
3 14 12 10 17 39 40 52 10 191.50 157.74 0.999 0.999   0.234   0.0012  10.90  11.98
4    1 334319 416545
4    2 332468 414226
